"OwnId";"Landuse";"Field";"Plot";"OnFarm";"Irrigate";"Fertilised";"N_Natural";"Bottom";"PH";"PercClay";"PercSilt";"PercSand";"Class";"PercTotNitro";"PercSOC";"PercTotPhos";"BulkDensity";"Lat";"Long"
"120";"Natural";"4";"20";5;0;0;0;0;80;5.58;59.6;15.28;25.12;"clay";0.08;0.921818182;0.056188925;1.138463617;-8.377435528;36.14430142
"121";"Offfarm IF";"5";"21";1;0;1;1;1;20;5.4;27.32;9.28;63.4;"";0.11;1.72;0.04;1.69;-8.257929;36.180938
"122";"Offfarm IF";"5";"21";1;0;1;1;1;30;5.56;28.32;10.28;61.4;"";0.11;1.57;0.05;1.88;-8.257929;36.180938
"123";"Offfarm IF";"5";"21";1;0;1;1;1;40;5.6;27.32;10.28;62.4;"";0.08;1.07;0.02;1.99;-8.257929;36.180938
"124";"Offfarm IF";"5";"21";1;0;1;1;1;50;5.88;27.32;8.28;64.4;"";0.06;0.56;0.05;1.82;-8.257929;36.180938
"125";"Offfarm IF";"5";"21";1;0;1;1;1;60;5.99;26.32;9.28;64.4;"";0.03;0.38;0.12;1.83;-8.257929;36.180938
"126";"Offfarm IF";"5";"22";2;0;1;1;1;20;5.32;25.32;10.28;64.4;"";0.11;1.85;0.11;1.89;-8.256955;36.182161
"127";"Offfarm IF";"5";"22";2;0;1;1;1;30;5.37;21.32;8.28;70.4;"";0.1;1.33;0.27;1.72;-8.256955;36.182161
"128";"Offfarm IF";"5";"22";2;0;1;1;1;40;5.5;18.32;7.28;74.4;"";0.05;0.72;0.24;1.59;-8.256955;36.182161
"129";"Offfarm IF";"5";"22";2;0;1;1;1;50;5.42;19.32;10.28;70.4;"";0.06;0.87;0.34;1.94;-8.256955;36.182161
"130";"Offfarm IF";"5";"22";2;0;1;1;1;60;5.95;19.32;9.28;71.4;"";0.02;0.91;0.12;2;-8.256955;36.182161
"131";"Offfarm IF";"5";"23";3;0;1;1;1;20;5.47;28.32;14.28;57.4;"";0.14;0.31;0.24;1.62;-8.255524;36.182722
"132";"Offfarm IF";"5";"23";3;0;1;1;1;30;5.54;24.96;6.64;68.4;"";0.06;1.14;0.13;1.86;-8.255524;36.182722
"133";"Offfarm IF";"5";"23";3;0;1;1;1;40;5.51;23.96;8.64;67.4;"";0.06;0.8;0.02;1.82;-8.255524;36.182722
"134";"Offfarm IF";"5";"23";3;0;1;1;1;50;5.6;25.96;9.64;64.4;"";0.04;0.36;0.92;1.78;-8.255524;36.182722
"135";"Offfarm IF";"5";"23";3;0;1;1;1;60;5.81;23.96;11.64;64.4;"";0.03;0.26;0.08;1.79;-8.255524;36.182722
"136";"Offfarm IF";"5";"24";4;0;1;1;1;20;5.4;20.96;12.64;66.4;"";0.14;1.9;0.1;1.79;-8.254931;36.18107
"137";"Offfarm IF";"5";"24";4;0;1;1;1;30;5.71;19.96;8.64;71.4;"";0.06;1.7;0.1;1.86;-8.254931;36.18107
"138";"Offfarm IF";"5";"24";4;0;1;1;1;40;5.87;16.96;8.64;74.4;"";0.03;0.57;0.01;1.89;-8.254931;36.18107
"139";"Offfarm IF";"5";"24";4;0;1;1;1;50;6.07;16.96;6.64;76.4;"";0.02;0.23;0.02;1.8;-8.254931;36.18107
"140";"Offfarm IF";"5";"24";4;0;1;1;1;60;6.57;13.96;4.64;81.4;"";0.05;0.16;0.03;1.88;-8.254931;36.18107
"141";"Offfarm IF";"5";"25";5;0;1;1;1;20;5.53;29.96;15.64;54.4;"";0.14;2.04;0.05;1.68;-8.256709;36.179855
"142";"Offfarm IF";"5";"25";5;0;1;1;1;30;5.61;34.96;15.64;49.4;"";0.09;1.3;0.05;1.67;-8.256709;36.179855
"143";"Offfarm IF";"5";"25";5;0;1;1;1;40;5.94;26.96;9.64;63.4;"";0.05;0.86;0.11;1.71;-8.256709;36.179855
"144";"Offfarm IF";"5";"25";5;0;1;1;1;50;5.87;20.96;8.64;70.4;"";0.04;0.53;0.04;1.95;-8.256709;36.179855
"145";"Offfarm IF";"5";"25";5;0;1;1;1;60;5.82;21.96;5.64;72.4;"";0.02;0.35;0.14;1.88;-8.256709;36.179855
"146";"Offfarm INF";"6";"26";1;0;1;0;1;20;5.75;21.14;10.46;68.4;"";0.01;3.45;0.14;1.45;-8.235845;36.191134
"147";"Offfarm INF";"6";"26";1;0;1;0;1;30;5.77;22.14;10.46;67.4;"";0.08;1.11;0.1;1.54;-8.235845;36.191134
"148";"Offfarm INF";"6";"26";1;0;1;0;1;40;5.74;24.14;8.46;67.4;"";0.08;1.08;0.14;1.72;-8.235845;36.191134
"149";"Offfarm INF";"6";"26";1;0;1;0;1;50;5.73;24.14;6.46;69.4;"";0.06;0.66;0.08;1.76;-8.235845;36.191134
"150";"Offfarm INF";"6";"26";1;0;1;0;1;60;5.88;24.14;7.46;68.4;"";0.04;2.2;0.07;1.93;-8.235845;36.191134
"151";"Offfarm INF";"6";"27";2;0;1;0;1;20;6.01;22.14;7.46;70.4;"";0.14;1.69;0.06;1.57;-8.234446;36.191858
"152";"Offfarm INF";"6";"27";2;0;1;0;1;30;6.05;18.14;6.46;75.4;"";0.08;1.09;0.05;1.67;-8.234446;36.191858
